L1;L2;L3;L4;L5;L6;L7;L8
alternative music;alternative rock;jangle pop;C86;;;;
alternative music;alternative rock;jangle pop;dolewave;;;;
alternative music;alternative rock;jangle pop;neo-acoustic;Shibuya-kei;Akishibu-kei;;
alternative music;alternative rock;jangle pop;neo-acoustic;Shibuya-kei;neo shibuya-kei;;
alternative music;alternative rock;jangle pop;neo-acoustic;Shibuya-kei;picopop;;
alternative music;alternative rock;jangle pop;Paisley Underground;;;;
alternative music;alternative rock;Japanese rock;kayo rock;;;;
alternative music;alternative rock;Japanese rock;loud rock;;;;
alternative music;alternative rock;Japanese rock;shimokita-kei;;;;
alternative music;alternative rock;Japanese rock;utsu rock;;;;
alternative music;alternative rock;Japanese rock;visual kei;koi kei x;;;
alternative music;alternative rock;Japanese rock;visual kei;kote kei;;;
alternative music;alternative rock;Japanese rock;visual kei;Kurafu kei;;;
alternative music;alternative rock;Japanese rock;visual kei;loud kei;;;
alternative music;alternative rock;Japanese rock;visual kei;Nagoya kei;;;
alternative music;alternative rock;Japanese rock;visual kei;oshare kei;;;
alternative music;alternative rock;Japanese rock;visual kei;soft visual;;;
alternative music;alternative rock;Japanese rock;wahoo rock;;;;
alternative music;alternative rock;Japanese rock;yakousei;;;;
alternative music;alternative rock;Japanese rock;yankee rocknroll;;;;
alternative music;alternative rock;Japanese rock;yotsuchi dance rock;;;;
alternative music;alternative rock;lazer;;;;;
alternative music;alternative rock;mall screamo;;;;;
alternative music;alternative rock;nu gaze;;;;;
alternative music;alternative rock;post-Britpop;new acoustic movement;;;;
alternative music;alternative rock;post-grunge;grunge pop;;;;
alternative music;alternative rock;sadcore;;;;;
alternative music;alternative rock;shoegaze;grungegaze;;;;
alternative music;alternative rock;shoegaze;post-metal;atmospheric sludge metal;;;
alternative music;alternative rock;shoegaze;post-metal;doomgaze;;;
alternative music;alternative rock;shoegaze;post-metal;post-black metal;;;
alternative music;alternative singer-songwriter music;;;;;;
alternative music;antipop;;;;;;
alternative music;chanson alternative;;;;;;
alternative music;Chinese alternative music;;;;;;
alternative music;gothic music;electro-goth;;;;;
alternative music;gothic music;gothabilly;;;;;
alternative music;gothic music;gothic country;Denver sound;;;;
alternative music;gothic music;gothic doom metal;gothic death-doom;;;;
alternative music;gothic music;Gothic pop;;;;;
alternative music;indietronica;glitch pop;;;;;
alternative music;Latin alternative;;;;;;
alternative music;progressive alternative music;;;;;;
alternative music;Turkish alternative music;;;;;;
ancient music;ancient Celtic music;;;;;;
ancient music;ancient Chinese music;;;;;;
ancient music;ancient Levitical music;;;;;;
ancient music;ancient Naxi music;Baisha xiyue;;;;;
ancient music;ancient Naxi music;dongjing;;;;;
ancient music;ancient Tamil music;;;;;;
ancient music;Aztec music;;;;;;
ancient music;Byzantine music;acclamatio;;;;;
ancient music;Byzantine music;Byzantine chant;;;;;
ancient music;Maya music;;;;;;
ancient music;music of ancient Egypt;;;;;;
ancient music;music of ancient Greece;nomos;;;;;
ancient music;music of ancient Greece;paean;;;;;
ancient music;music of ancient Greece;prosodion;;;;;
ancient music;music of ancient India;;;;;;
ancient music;music of ancient Rome;;;;;;
ancient music;music of Mesopotamia;;;;;;
art music;African classical music;;;;;;
art music;avant-garde music;avant-garde jazz;experimental big band;;;;
art music;avant-garde music;avant-garde jazz;free funk;;;;
art music;avant-garde music;avant-garde jazz;free jazz;European free jazz;;;
art music;avant-garde music;avant-garde jazz;free jazz;free rock;;;
art music;avant-garde music;avant-garde jazz;free jazz;M-Base;;;
art music;avant-garde music;avant-prog;Rock in Opposition;;;;
art music;avant-garde music;avant-prog;Zeuhl;;;;
art music;avant-garde music;sound sculpture;;;;;
art music;Buganda royal court music;;;;;;
art music;classical music;20th-century classical music;New Simplicity;;;;
art music;classical music;21st-century classical music;;;;;
art music;classical music;art lyrique;;;;;
art music;classical music;art song;American art song;;;;
art music;classical music;art song;art song in Arabic;;;;
art music;classical music;art song;Elizabethan song;air de cour;;;
art music;classical music;art song;Elizabethan song;consort song;;;
art music;classical music;art song;Elizabethan song;lute song;ayr;;
art music;classical music;art song;English art song;;;;
art music;classical music;art song;Lied;Böhmerwaldlieder;;;
art music;classical music;art song;Lied;Frauenlied;;;
art music;classical music;art song;Lied;sacred folk song;;;
art music;classical music;art song;Lied;Volkslied;Almlied;;
art music;classical music;art song;Lied;Volkslied;German volkslied;;
art music;classical music;art song;mélodie;;;;
art music;classical music;art song;orchestral song;;;;
art music;classical music;art song;romance;instrumental romance;;;
art music;classical music;art song;romance;romanţe;;;
art music;classical music;art song;romance;vocal romance;;;
art music;classical music;Australian classical music;;;;;
art music;classical music;bagatelle;;;;;
art music;classical music;ballade;;;;;
art music;classical music;ballet;ballet de cour;;;;
art music;classical music;ballet;comédie-ballet;;;;
art music;classical music;ballet;entrée;;;;
art music;classical music;ballet;opéra-ballet;pastorale héroïque;;;
art music;classical music;Baroque music;ballet de cour;;;;
art music;classical music;Baroque music;baroque pop;Shibuya-kei;Akishibu-kei;;
art music;classical music;Baroque music;baroque pop;Shibuya-kei;neo shibuya-kei;;
art music;classical music;Baroque music;baroque pop;Shibuya-kei;picopop;;
art music;classical music;Baroque music;baroque zarzuela;;;;
art music;classical music;Baroque music;cibell;;;;
art music;classical music;Baroque music;comédie-ballet;;;;
art music;classical music;Baroque music;da capo aria;;;;
art music;classical music;Baroque music;early baroque music;;;;
art music;classical music;Baroque music;empfindsamkeit;;;;
art music;classical music;Baroque music;French baroque music;Leçons de ténèbres;;;
art music;classical music;Baroque music;French overture;;;;
art music;classical music;Baroque music;Galante music;;;;
art music;classical music;Baroque music;humorous baroque music;;;;
art music;classical music;Baroque music;Italian baroque music;;;;
art music;classical music;Baroque music;Late Baroque;;;;
art music;classical music;Baroque music;opéra-ballet;pastorale héroïque;;;
art music;classical music;Baroque music;sarabande;;;;
art music;classical music;bourrée;;;;;
art music;classical music;Canadian classical music;;;;;
art music;classical music;canary;;;;;
art music;classical music;cancan;;;;;
art music;classical music;cantata;Christmas cantata;;;;
art music;classical music;cantata;church cantata;chorale cantata;;;
art music;classical music;cantata;dialogue;;;;
art music;classical music;cantata;Kindercantate;;;;
art music;classical music;canzona;canzonetta;;;;
art music;classical music;capriccio;;;;;
art music;classical music;chamber music;clarinet quintet music;;;;
art music;classical music;chamber music;uzagaku;;;;
art music;classical music;character piece;arabesque;Arabesque rock;;;
art music;classical music;character piece;arabesque;R'n'Besk;;;
art music;classical music;character piece;song without words;;;;
art music;classical music;classical crossover;operatic pop;;;;
art music;classical music;classical dance music;allemande;;;;
art music;classical music;classical dance music;Baroque suite;;;;
art music;classical music;classical dance music;courante;;;;
art music;classical music;classical dance music;galliard;;;;
art music;classical music;classical dance music;gavotte;;;;
art music;classical music;classical dance music;gigue;;;;
art music;classical music;classical dance music;minuet;;;;
art music;classical music;classical dance music;musette;;;;
art music;classical music;classical dance music;passacaglia;;;;
art music;classical music;classical dance music;passamezzo;;;;
art music;classical music;classical dance music;pavane;;;;
art music;classical music;classical dance music;polka;polka criolla;;;
art music;classical music;classical dance music;rigaudon;;;;
art music;classical music;classical dance music;sarabande;;;;
art music;classical music;classical dance music;waltz;concert waltz;;;
art music;classical music;classical dance music;waltz;slow waltz;;;
art music;classical music;classical dance music;waltz;valsa brasileira;;;
art music;classical music;classical dance music;waltz;Venezuelan waltz;;;
art music;classical music;classical electronic music;neo-classic music;;;;
art music;classical music;classical music of the United States;;;;;
art music;classical music;Classical period;;;;;
art music;classical music;classical worship music;;;;;
art music;classical music;compositional music;;;;;
art music;classical music;concertante music;;;;;
art music;classical music;Concertato;;;;;
art music;classical music;Czech national classical music;;;;;
art music;classical music;divertissement;;;;;
art music;classical music;early music;medieval music;ars antiqua;;;
art music;classical music;early music;medieval music;ars nova;;;
art music;classical music;early music;medieval music;ars subtilior;;;
art music;classical music;early music;medieval music;conductus;;;
art music;classical music;early music;medieval music;contenance angloise;;;
art music;classical music;early music;medieval music;descant;;;
art music;classical music;early music;medieval music;Discant;;;
art music;classical music;early music;medieval music;Leise;;;
art music;classical music;early music;medieval music;medieval ballad;ballad of chivalry;;
art music;classical music;early music;medieval music;medieval ballad;ballad of the supernatural;;
art music;classical music;early music;medieval music;medieval ballad;heroic ballad;;
art music;classical music;early music;medieval music;medieval ballad;historical ballad;;
art music;classical music;early music;medieval music;medieval ballad;jocular ballad;;
art music;classical music;early music;medieval music;medieval ballad;legendary ballad;;
art music;classical music;early music;medieval music;Medieval contemporary music;;;
art music;classical music;early music;medieval music;music of the Trecento;;;
art music;classical music;early music;medieval music;neo-medieval music;bardcore;;
art music;classical music;early music;medieval music;neo-medieval music;minstrel song;;
art music;classical music;early music;medieval music;poésie courtoise;;;
art music;classical music;early music;medieval music;Romanza;;;
art music;classical music;early music;medieval music;troubadoric poetry;;;
art music;classical music;early music;Polyphonic Era;;;;
art music;classical music;fantasia;symphonic fantasia;;;;
art music;classical music;Finnish classical music;;;;;
art music;classical music;French classical music;;;;;
art music;classical music;fugue;Mirror fugue;;;;
art music;classical music;furiant;;;;;
art music;classical music;furniture music;;;;;
art music;classical music;heavy metal;African heavy metal;South African heavy metal;;;
art music;classical music;heavy metal;Argentine heavy metal;;;;
art music;classical music;heavy metal;Bangladeshi heavy metal;;;;
art music;classical music;heavy metal;Canadian heavy metal;;;;
art music;classical music;heavy metal;Chinese heavy metal;;;;
art music;classical music;heavy metal;Christian metal;Christian death metal;;;
art music;classical music;heavy metal;Christian metal;unblack metal;;;
art music;classical music;heavy metal;country metal;;;;
art music;classical music;heavy metal;deathrash;;;;
art music;classical music;heavy metal;downer metal;;;;
art music;classical music;heavy metal;dream metal;;;;
art music;classical music;heavy metal;epic heavy metal;epic doom metal;;;
art music;classical music;heavy metal;epic metal;;;;
art music;classical music;heavy metal;extreme metal;argent metal;;;
art music;classical music;heavy metal;extreme metal;biker metal;;;
art music;classical music;heavy metal;extreme metal;black metal;ambient black metal;;
art music;classical music;heavy metal;extreme metal;black metal;atmospheric black metal;blackgaze;
art music;classical music;heavy metal;extreme metal;black metal;atmospheric black metal;Cascadian black metal;
art music;classical music;heavy metal;extreme metal;black metal;atmospheric black metal;cosmic black metal;
art music;classical music;heavy metal;extreme metal;black metal;black 'n' roll;;
art music;classical music;heavy metal;extreme metal;black metal;black ambient;;
art music;classical music;heavy metal;extreme metal;black metal;black doom;;
art music;classical music;heavy metal;extreme metal;black metal;black noise;;
art music;classical music;heavy metal;extreme metal;black metal;blackened death metal;;
art music;classical music;heavy metal;extreme metal;black metal;depressive black metal;;
art music;classical music;heavy metal;extreme metal;black metal;dissonant black metal;;
art music;classical music;heavy metal;extreme metal;black metal;Early Norwegian black metal scene;;
art music;classical music;heavy metal;extreme metal;black metal;first wave black metal;dark metal;
art music;classical music;heavy metal;extreme metal;black metal;Hellenic black metal;;
art music;classical music;heavy metal;extreme metal;black metal;melodic black metal;;
art music;classical music;heavy metal;extreme metal;black metal;National Socialist black metal;;
art music;classical music;heavy metal;extreme metal;black metal;Norsecore;;
art music;classical music;heavy metal;extreme metal;black metal;pagan black metal;;
art music;classical music;heavy metal;extreme metal;black metal;pop black metal;;
art music;classical music;heavy metal;extreme metal;black metal;post-black metal;;
art music;classical music;heavy metal;extreme metal;black metal;progressive black metal;;
art music;classical music;heavy metal;extreme metal;black metal;psychedelic black metal;;
art music;classical music;heavy metal;extreme metal;black metal;raw black metal;;
art music;classical music;heavy metal;extreme metal;black metal;red and anarchist black metal;;
art music;classical music;heavy metal;extreme metal;black metal;symphonic black metal;cyber metal;
art music;classical music;heavy metal;extreme metal;black metal;troll metal;;
art music;classical music;heavy metal;extreme metal;black metal;true black metal;;
art music;classical music;heavy metal;extreme metal;black metal;unblack metal;;
art music;classical music;heavy metal;extreme metal;black metal;viking metal;;
art music;classical music;heavy metal;extreme metal;black metal;war metal;;
art music;classical music;heavy metal;extreme metal;dark metal;;;
art music;classical music;heavy metal;extreme metal;death metal;atmospheric death metal;;
art music;classical music;heavy metal;extreme metal;death metal;blackened death metal;;
art music;classical music;heavy metal;extreme metal;death metal;brutal death metal;slam death metal;
art music;classical music;heavy metal;extreme metal;death metal;Christian death metal;;
art music;classical music;heavy metal;extreme metal;death metal;death 'n' roll;;
art music;classical music;heavy metal;extreme metal;death metal;deathcore;downtempo deathcore;
art music;classical music;heavy metal;extreme metal;death metal;deathcore;electro deathcore;
art music;classical music;heavy metal;extreme metal;death metal;deathcore;nu deathcore;
art music;classical music;heavy metal;extreme metal;death metal;deathgrind;;
art music;classical music;heavy metal;extreme metal;death metal;deathrash;;
art music;classical music;heavy metal;extreme metal;death metal;Florida death metal;;
art music;classical music;heavy metal;extreme metal;death metal;gothic death-doom;;
art music;classical music;heavy metal;extreme metal;death metal;melodic death metal;cyber metal;
art music;classical music;heavy metal;extreme metal;death metal;melodic death metal;Gothenburg metal;
art music;classical music;heavy metal;extreme metal;death metal;melodic death metal;Gothenburg sound;
art music;classical music;heavy metal;extreme metal;death metal;melodic death metal;Latin melodeath;
art music;classical music;heavy metal;extreme metal;death metal;New York death metal;;
art music;classical music;heavy metal;extreme metal;death metal;old school death metal;;
art music;classical music;heavy metal;extreme metal;death metal;progressive death metal;;
art music;classical music;heavy metal;extreme metal;death metal;Scandinavian death metal;;
art music;classical music;heavy metal;extreme metal;death metal;Swedish death metal;;
art music;classical music;heavy metal;extreme metal;death metal;symphonic death metal;;
art music;classical music;heavy metal;extreme metal;death metal;technical death metal;dissonant death metal;
art music;classical music;heavy metal;extreme metal;deathrash;;;
art music;classical music;heavy metal;extreme metal;doom metal;atmospheric doom metal;;
art music;classical music;heavy metal;extreme metal;doom metal;black doom;;
art music;classical music;heavy metal;extreme metal;doom metal;dark jazz;;
art music;classical music;heavy metal;extreme metal;doom metal;dark metal;;
art music;classical music;heavy metal;extreme metal;doom metal;death-doom;;
art music;classical music;heavy metal;extreme metal;doom metal;deathrash;;
art music;classical music;heavy metal;extreme metal;doom metal;doomcore;darkcore;
art music;classical music;heavy metal;extreme metal;doom metal;epic doom metal;;
art music;classical music;heavy metal;extreme metal;doom metal;funeral doom metal;torture doom;
art music;classical music;heavy metal;extreme metal;doom metal;gothic doom metal;gothic death-doom;
art music;classical music;heavy metal;extreme metal;doom metal;proto doom;;
art music;classical music;heavy metal;extreme metal;doom metal;stoner doom;;
art music;classical music;heavy metal;extreme metal;doom metal;stoner metal;stoner doom;
art music;classical music;heavy metal;extreme metal;doom metal;stoner rock;Palm Desert Scene;
art music;classical music;heavy metal;extreme metal;doom metal;traditional doom metal;;
art music;classical music;heavy metal;extreme metal;grindcore;crustgrind;;
art music;classical music;heavy metal;extreme metal;grindcore;cybergrind;Nintendocore;
art music;classical music;heavy metal;extreme metal;grindcore;deathgrind;;
art music;classical music;heavy metal;extreme metal;grindcore;goregrind;gorenoise;
art music;classical music;heavy metal;extreme metal;grindcore;goregrind;pornogrind;
art music;classical music;heavy metal;extreme metal;grindcore;grindviolence;;
art music;classical music;heavy metal;extreme metal;grindcore;mincecore;;
art music;classical music;heavy metal;extreme metal;grindcore;noisegrind;;
art music;classical music;heavy metal;extreme metal;grindcore;thrashgrind;;
art music;classical music;heavy metal;extreme metal;groove metal;brutal death metal;slam death metal;
art music;classical music;heavy metal;extreme metal;horror metal;;;
art music;classical music;heavy metal;extreme metal;metalcore;crabcore;;
art music;classical music;heavy metal;extreme metal;metalcore;deathcore;downtempo deathcore;
art music;classical music;heavy metal;extreme metal;metalcore;deathcore;electro deathcore;
art music;classical music;heavy metal;extreme metal;metalcore;deathcore;nu deathcore;
art music;classical music;heavy metal;extreme metal;metalcore;downtempo deathcore;;
art music;classical music;heavy metal;extreme metal;metalcore;easycore;;
art music;classical music;heavy metal;extreme metal;metalcore;electronicore;;
art music;classical music;heavy metal;extreme metal;metalcore;mathcore;;
art music;classical music;heavy metal;extreme metal;metalcore;melodic metalcore;;
art music;classical music;heavy metal;extreme metal;metalcore;Nintendocore;;
art music;classical music;heavy metal;extreme metal;metalcore;progressive metalcore;;
art music;classical music;heavy metal;extreme metal;metalcore;risecore;;
art music;classical music;heavy metal;extreme metal;metalcore;thall;;
art music;classical music;heavy metal;extreme metal;Nintendocore;;;
art music;classical music;heavy metal;extreme metal;pagan metal;pagan black metal;;
art music;classical music;heavy metal;extreme metal;pagan metal;Slavic pagan metal;;
art music;classical music;heavy metal;extreme metal;sludge metal;atmospheric sludge metal;;
art music;classical music;heavy metal;extreme metal;sludge metal;NOLA sludge;;
art music;classical music;heavy metal;extreme metal;speed metal;melodic speed metal;;
art music;classical music;heavy metal;extreme metal;speed metal;pirate metal;;
art music;classical music;heavy metal;extreme metal;thrash metal;Australian thrash metal;;
art music;classical music;heavy metal;extreme metal;thrash metal;Bay Area thrash metal;;
art music;classical music;heavy metal;extreme metal;thrash metal;Brazilian thrash metal;;
art music;classical music;heavy metal;extreme metal;thrash metal;crossover thrash;;
art music;classical music;heavy metal;extreme metal;thrash metal;deathrash;;
art music;classical music;heavy metal;extreme metal;thrash metal;groove metal;brutal death metal;slam death metal
art music;classical music;heavy metal;extreme metal;thrash metal;pirate metal;;
art music;classical music;heavy metal;extreme metal;thrash metal;technical thrash metal;;
art music;classical music;heavy metal;extreme metal;thrash metal;Teutonic thrash metal;;
art music;classical music;heavy metal;extreme metal;thrash metal;thrashcore;Bandana thrash;
art music;classical music;heavy metal;extreme metal;thrash metal;thrashgrind;;
art music;classical music;heavy metal;extreme metal;thrash metal;ultra metal;;
art music;classical music;heavy metal;groove metal;brutal death metal;slam death metal;;
art music;classical music;heavy metal;heavy yoik;;;;
art music;classical music;heavy metal;melodic heavy metal;;;;
art music;classical music;heavy metal;new wave of American heavy metal;;;;
art music;classical music;heavy metal;new wave of British heavy metal;;;;
art music;classical music;heavy metal;speed metal;melodic speed metal;;;
art music;classical music;heavy metal;speed metal;pirate metal;;;
art music;classical music;heavy metal;traditional heavy metal;New wave of traditional heavy metal;;;
art music;classical music;heavy metal;true metal;;;;
art music;classical music;heavy metal;US power metal;;;;
art music;classical music;impromptu;;;;;
art music;classical music;indie classical;;;;;
art music;classical music;Israeli classical music;;;;;
art music;classical music;Italian classical music;villanella;Moresche;;;
art music;classical music;Kamarinskaya;;;;;
art music;classical music;kozak;;;;;
art music;classical music;krakowiak;;;;;
art music;classical music;kujawiak;;;;;
art music;classical music;Ladainha;;;;;
art music;classical music;Latin American classical music;Brazilian classical music;dobrado;;;
art music;classical music;Latin American classical music;Brazilian classical music;valsa brasileira;;;
art music;classical music;Latin American classical music;Mexican classical music;;;;
art music;classical music;light music;;;;;
art music;classical music;loure;;;;;
art music;classical music;madrigal;Madrigale spirituale;;;;
art music;classical music;madrigal;Note nere;;;;
art music;classical music;medieval music;ars antiqua;;;;
art music;classical music;medieval music;ars nova;;;;
art music;classical music;medieval music;ars subtilior;;;;
art music;classical music;medieval music;conductus;;;;
art music;classical music;medieval music;contenance angloise;;;;
art music;classical music;medieval music;descant;;;;
art music;classical music;medieval music;Discant;;;;
art music;classical music;medieval music;Leise;;;;
art music;classical music;medieval music;medieval ballad;ballad of chivalry;;;
art music;classical music;medieval music;medieval ballad;ballad of the supernatural;;;
art music;classical music;medieval music;medieval ballad;heroic ballad;;;
art music;classical music;medieval music;medieval ballad;historical ballad;;;
art music;classical music;medieval music;medieval ballad;jocular ballad;;;
art music;classical music;medieval music;medieval ballad;legendary ballad;;;
art music;classical music;medieval music;Medieval contemporary music;;;;
art music;classical music;medieval music;music of the Trecento;;;;
art music;classical music;medieval music;neo-medieval music;bardcore;;;
art music;classical music;medieval music;neo-medieval music;minstrel song;;;
art music;classical music;medieval music;poésie courtoise;;;;
art music;classical music;medieval music;Romanza;;;;
art music;classical music;medieval music;troubadoric poetry;;;;
art music;classical music;microtonal classical music;;;;;
art music;classical music;modern classical music;aleatoric music;;;;
art music;classical music;modern classical music;American gamelan;;;;
art music;classical music;modern classical music;contemporary classical music;cinematic classical;epic music;trailer music;
art music;classical music;modern classical music;contemporary classical music;cinematic classical;spaghetti western music;;
art music;classical music;modern classical music;contemporary classical music;cinematic classical;spy music;;
art music;classical music;modern classical music;contemporary classical music;electroacoustic music;acousmatic music;;
art music;classical music;modern classical music;contemporary classical music;electroacoustic music;electroacoustic improvisation;;
art music;classical music;modern classical music;contemporary classical music;electroacoustic music;fixed media;;
art music;classical music;modern classical music;contemporary classical music;electroacoustic music;live electronic music;;
art music;classical music;modern classical music;contemporary classical music;electroacoustic music;musique concrète;;
art music;classical music;modern classical music;contemporary classical music;fixed media;;;
art music;classical music;modern classical music;contemporary classical music;Mixed music;;;
art music;classical music;modern classical music;contemporary classical music;neo-classic music;;;
art music;classical music;modern classical music;contemporary classical music;neoromantic music;;;
art music;classical music;modern classical music;expressionist music;;;;
art music;classical music;modern classical music;futurism;;;;
art music;classical music;modern classical music;impressionist music;;;;
art music;classical music;modern classical music;microtonal music;Ekmelic music;;;
art music;classical music;modern classical music;microtonal music;microtonal classical music;;;
art music;classical music;modern classical music;microtonal music;quarter tone music;;;
art music;classical music;modern classical music;minimalist music;drone music;drone ambient;;
art music;classical music;modern classical music;minimalist music;drone music;drone metal;;
art music;classical music;modern classical music;minimalist music;drone music;drone noise wall;;
art music;classical music;modern classical music;minimalist music;holy minimalism;;;
art music;classical music;modern classical music;minimalist music;lowercase;lowercase noise wall;;
art music;classical music;modern classical music;minimalist music;post-minimalism;totalism;;
art music;classical music;modern classical music;musique concrète;;;;
art music;classical music;modern classical music;neoclassical music;;;;
art music;classical music;modern classical music;process music;;;;
art music;classical music;modern classical music;serialism;integral serialism;;;
art music;classical music;modern classical music;twelve-tone technique;;;;
art music;classical music;modern classical music;uplifting classical;;;;
art music;classical music;modern classical music;West Coast School;;;;
art music;classical music;modernism;;;;;
art music;classical music;motet;Chorale motet;;;;
art music;classical music;motet;part motet;;;;
art music;classical music;national classical music;Czech national classical music;;;;
art music;classical music;neo-classical metal;;;;;
art music;classical music;neofolklorism;;;;;
art music;classical music;Neue Musik;;;;;
art music;classical music;nocturne;;;;;
art music;classical music;Novena;;;;;
art music;classical music;opera;American Indian opera;;;;
art music;classical music;opera;Azerbaijani opera;;;;
art music;classical music;opera;ballad opera;;;;
art music;classical music;opera;Baroque opera;;;;
art music;classical music;opera;biographical opera;;;;
art music;classical music;opera;chamber opera;;;;
art music;classical music;opera;children's opera;;;;
art music;classical music;opera;Chinese-language Western-style opera;;;;
art music;classical music;opera;comic opera;burletta;;;
art music;classical music;opera;comic opera;Savoy opera;;;
art music;classical music;opera;contemporary opera;;;;
art music;classical music;opera;drame lyrique;;;;
art music;classical music;opera;dramma giocoso;;;;
art music;classical music;opera;Dramma per musica;;;;
art music;classical music;opera;fairy-tale opera;;;;
art music;classical music;opera;favola in musica;;;;
art music;classical music;opera;Finnish opera;;;;
art music;classical music;opera;French opera;;;;
art music;classical music;opera;fur hat opera;;;;
art music;classical music;opera;German opera;;;;
art music;classical music;opera;grand opera;;;;
art music;classical music;opera;grande opera;;;;
